,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,distance_btw_lax,accommodates,bedrooms,beds,bathrooms,amenity_num,review_scores_rating,price
22633,1351,1,13.0,13.0,5,33.97128,-117.91241000000001,45.888604346539594,2,-1.0,1.0,1.0,421,97.0,65.0
22634,1351,1,13.0,13.0,5,33.97254,-117.91115,46.01448296306085,1,1.0,1.0,1.0,578,90.0,55.0
22635,1351,1,13.0,13.0,5,33.97173,-117.91135,45.98964719589217,2,-1.0,1.0,1.0,437,100.0,53.0
22636,503,1,1.0,1.0,4,34.24057,-118.47377,33.79351845986793,14,4.0,6.0,3.0,702,100.0,349.0
22637,2243,0,8.0,8.0,5,34.00221,-118.46433,8.48363957490596,4,1.0,3.0,1.0,243,92.0,75.0
22638,2019,1,0.0,0.0,8,34.16338,-118.28288,27.24990991501162,2,-1.0,1.0,1.0,430,100.0,80.0
22639,973,0,2.0,2.0,2,34.13677,-118.59361000000001,27.611105413290822,8,3.0,5.0,2.0,626,92.0,419.0
22640,2346,1,10.0,10.0,5,34.13805,-118.26097,25.736612551650083,2,1.0,1.0,1.0,410,98.0,109.0
22641,1765,0,7.0,7.0,7,34.06825,-118.1222,29.92274001455838,2,1.0,1.0,1.0,263,-1.0,50.0
22642,1991,1,0.0,0.0,5,33.77102,-118.14827,30.623307557477474,10,4.0,7.0,2.0,707,99.0,315.0
22643,503,1,1.0,1.0,2,34.43585,-118.53894,56.27009893792959,2,1.0,1.0,1.0,654,99.0,70.0
22644,503,0,1.0,1.0,4,34.2079,-118.53074,31.689313254023936,4,1.0,2.0,1.0,432,92.0,80.0
22645,592,0,5.0,5.0,6,34.00525,-117.88005,49.25696476475916,1,1.0,1.0,1.0,251,95.0,32.0
22646,757,0,2.0,2.0,6,33.99196,-117.89796000000001,47.42908100157793,1,1.0,1.0,1.5,301,91.0,39.0
22647,2102,0,1.0,1.0,5,33.87676,-118.3479,9.127384687528798,1,1.0,1.0,1.5,249,100.0,40.0
22648,1077,1,6.0,6.0,4,34.25724,-118.56492,37.949674858902085,2,1.0,1.0,1.0,473,100.0,71.0
22649,2071,0,16.0,16.0,8,33.98039,-118.4608,6.472738910226521,5,2.0,2.0,5.0,530,-1.0,1056.0
22650,1077,1,6.0,6.0,4,34.25568,-118.56302,37.72288197485841,2,1.0,1.0,1.0,480,99.0,72.0
22651,1077,1,6.0,6.0,4,34.257059999999996,-118.56515,37.93921031417515,2,1.0,1.0,1.0,576,100.0,68.0
22652,2329,1,1.0,1.0,4,34.148990000000005,-118.24987,27.310730595782097,2,1.0,1.0,1.0,433,97.0,104.0
22653,2380,0,2.0,2.0,7,34.17859,-118.34794,26.94458112130598,4,1.0,2.0,1.0,520,83.0,250.0
22654,2829,1,3.0,3.0,7,34.01305,-118.79737,36.738583350385,2,1.0,1.0,1.0,426,99.0,160.0
22655,2380,0,2.0,2.0,7,34.224959999999996,-118.36627,31.7572758177718,4,1.0,1.0,1.0,308,87.0,250.0
22656,858,1,1.0,1.0,2,34.10365,-118.34973000000001,18.82146155255979,5,-1.0,2.0,1.0,211,99.0,130.0
22657,1516,0,1.0,1.0,7,34.10222,-118.34637,18.761441715714202,3,1.0,1.0,1.0,228,-1.0,299.0
22658,2038,0,1.0,1.0,7,34.03782,-118.21738,20.62087610967631,1,1.0,1.0,1.0,452,92.0,40.0
22659,2655,1,6.0,6.0,6,34.09422,-118.28002,20.699944771231177,4,2.0,2.0,1.0,672,97.0,177.0
22660,503,1,1.0,1.0,1,33.9554,-118.3935,2.0668127851837474,1,-1.0,1.0,1.0,359,98.0,99.0
22661,714,1,3.0,3.0,4,33.794779999999996,-118.30502,18.921708692044067,3,-1.0,1.0,1.0,441,100.0,68.0
22662,3199,0,24.0,24.0,7,34.09915,-118.30556000000001,19.92896100890265,2,1.0,2.0,2.0,28,73.0,25.0
22663,1747,1,2.0,2.0,9,34.129870000000004,-118.06891,37.6606875612505,2,1.0,1.0,1.5,310,100.0,65.0
22664,3124,1,0.0,0.0,8,34.03905,-118.44286000000001,11.29304600801257,4,1.0,3.0,1.0,320,-1.0,165.0
22665,2664,0,1.0,1.0,4,34.028529999999996,-118.49569,12.576157225517182,2,1.0,1.0,1.0,217,100.0,125.0
22666,770,1,2.0,2.0,4,33.94869,-118.12633999999998,26.047743762476745,3,1.0,2.0,1.0,538,100.0,87.0
22667,2610,1,42.0,42.0,7,34.04299,-118.64407,24.47751090525167,12,5.0,8.0,4.5,750,100.0,1324.0
22668,502,0,1.0,1.0,2,34.110659999999996,-118.32928000000001,20.17281305125807,1,1.0,2.0,1.0,439,-1.0,60.0
22669,1244,0,0.0,0.0,4,34.086209999999994,-118.35998000000001,16.695432373609627,5,2.0,2.0,2.0,375,100.0,199.0
22670,1794,1,7.0,7.0,7,33.92642,-118.41564,1.8124841126885127,4,-1.0,2.0,1.0,443,98.0,80.0
22671,1823,0,1.0,1.0,6,34.067840000000004,-118.31073,16.686593501920655,3,-1.0,1.0,1.0,259,83.0,75.0
22672,1401,0,1183.0,1183.0,9,34.10239,-118.33838999999999,19.016739139823127,2,1.0,1.0,1.0,409,-1.0,146.0
