,host_response_time,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,neighborhood_matched,property_type,room_type,maximum_nights,minimum_nights,number_of_reviews,number_of_reviews_l30d,negiborhood_frequency
16337,-1,-1.0,-1.0,East San Gabriel,True,2,2,1125,1,23,0,77
16338,1,1.0,0.0,Eagle Rock,True,1,1,1125,14,8,0,127
16339,-1,-1.0,0.97,Rowland Heights,False,2,2,1125,1000,72,0,517
16340,1,1.0,-1.0,Arlington Heights,False,2,2,1125,30,0,0,128
16341,1,1.0,0.92,Van Nuys,True,1,1,1125,30,5,0,201
16342,1,1.0,0.93,Mid-City,False,1,1,1125,1,65,0,397
16343,-1,-1.0,-1.0,Beverly Grove,False,2,2,1125,30,0,0,422
16344,-1,-1.0,-1.0,Marina del Rey,False,1,1,1125,3,1,0,201
16345,-1,-1.0,-1.0,Redondo Beach,False,1,1,1125,2,8,0,342
16346,1,1.0,1.0,Echo Park,True,4,1,1125,30,30,1,410
16347,-1,-1.0,-1.0,Hollywood Hills,True,1,1,90,30,1,0,787
16348,4,0.0,1.0,Sherman Oaks,False,2,2,1125,1,35,0,375
16349,1,1.0,0.98,Historic South-Central,False,1,1,365,31,36,0,66
16350,1,0.96,0.62,Alhambra,False,1,1,1125,1,10,0,258
16351,-1,-1.0,-1.0,Hollywood Hills,True,2,2,1125,1,1,0,787
16352,-1,-1.0,-1.0,El Segundo,False,2,2,1125,1,50,0,153
16353,-1,-1.0,-1.0,Torrance,True,1,1,30,1,4,0,295
16354,1,1.0,0.93,Mid-City,False,1,1,1125,30,70,0,397
16355,-1,-1.0,1.0,Baldwin Hills/Crenshaw,False,2,2,1125,2,0,0,74
16356,-1,-1.0,-1.0,Inglewood,False,1,1,1125,1,12,0,402
16357,-1,-1.0,-1.0,Hollywood,True,1,1,1125,2,6,0,1616
16358,1,1.0,0.98,Hollywood Hills,False,1,1,30,4,40,0,787
16359,1,1.0,0.96,Altadena,True,1,1,14,3,55,3,228
16360,-1,-1.0,-1.0,Pasadena,True,1,1,1125,4,4,0,459
16361,1,0.97,0.99,North Hollywood,True,1,1,1125,1,84,1,393
16362,1,1.0,0.98,Sun Valley,False,1,1,30,2,92,5,77
16363,-1,-1.0,-1.0,Long Beach,False,1,1,280,1,44,0,1573
16364,-1,-1.0,-1.0,Pomona,False,2,2,1125,3,1,0,121
16365,1,0.94,1.0,Marina del Rey,False,1,1,1000,1,59,1,201
16366,1,1.0,0.47,Pomona,False,1,1,1125,30,10,1,121
16367,1,1.0,0.51,Hollywood,False,1,1,1125,30,0,0,1616
16368,2,1.0,0.67,Del Rey,True,1,1,14,4,6,0,239
16369,1,1.0,0.99,Venice,False,1,1,1125,2,143,7,1701
16370,1,1.0,0.98,Del Rey,True,1,1,1124,30,6,1,239
16371,2,1.0,0.98,Tarzana,True,2,2,7,2,124,0,125
16372,-1,-1.0,-1.0,Long Beach,False,1,1,30,1,162,6,1573
16373,-1,-1.0,-1.0,Pasadena,False,1,1,4,3,1,0,459
16374,-1,-1.0,-1.0,Long Beach,False,2,2,30,1,155,6,1573
16375,-1,-1.0,-1.0,Long Beach,False,1,1,30,1,167,9,1573
16376,1,1.0,1.0,Brentwood,False,1,1,60,3,2,0,198
16377,2,1.0,0.64,Wilmington,True,2,2,14,2,17,0,31
16378,-1,-1.0,-1.0,Walnut,False,2,2,90,7,0,0,79
16379,1,1.0,0.0,Azusa,True,2,2,30,1,2,0,66
16380,1,1.0,0.99,Azusa,True,2,2,120,3,52,1,66
16381,1,1.0,0.95,Wilmington,False,1,1,1125,30,35,0,31
16382,-1,-1.0,-1.0,Echo Park,True,2,2,30,2,6,0,410
16383,-1,-1.0,-1.0,North Hollywood,False,3,3,135,130,2,0,393
16384,-1,-1.0,-1.0,Downey,True,1,1,6,1,13,0,57
16385,4,0.0,0.0,Calabasas,False,1,1,10,2,3,0,55
16386,1,1.0,0.95,Glassell Park,True,2,2,89,30,22,1,78
16387,1,0.9,1.0,Hollywood Hills,True,1,1,365,2,33,0,787
16388,-1,-1.0,-1.0,Woodland Hills,False,2,2,60,30,0,0,290
16389,1,1.0,0.86,Agoura Hills,False,2,2,30,3,18,0,37
16390,1,1.0,0.98,Valley Village,False,2,2,1125,1,105,6,128
16391,1,1.0,0.99,Chinatown,False,1,1,19,1,93,1,59
16392,1,1.0,0.98,Hyde Park,False,1,1,30,1,50,1,79
16393,-1,-1.0,0.0,Lakewood,False,2,2,1125,1,0,0,51
16394,-1,-1.0,1.0,Lake Balboa,True,1,1,1125,1,34,0,70
16395,4,0.33,1.0,Santa Monica,True,1,1,90,31,1,0,1184
16396,-1,-1.0,1.0,Fairfax,False,1,1,1125,2,31,0,261
16397,-1,-1.0,-1.0,Venice,True,1,1,31,30,10,0,1701
16398,-1,-1.0,-1.0,Hollywood,False,2,2,1125,1,24,0,1616
16399,1,1.0,1.0,Topanga,True,2,2,1125,2,0,0,257
16400,-1,-1.0,-1.0,Hollywood,False,1,1,1125,1,43,0,1616
16401,1,1.0,0.88,Venice,True,1,1,28,4,35,1,1701
16402,2,1.0,0.99,Historic South-Central,False,2,2,30,2,84,0,66
16403,-1,-1.0,0.92,Rowland Heights,False,2,2,20,5,0,0,517
16404,4,0.33,1.0,Santa Monica,True,1,1,1125,31,0,0,1184
16405,4,0.33,1.0,Santa Monica,True,1,1,1125,31,1,0,1184
16406,1,1.0,0.99,Carson,True,1,1,1125,2,96,5,79
16407,1,1.0,1.0,Westwood,True,1,1,1125,30,13,0,474
16408,1,1.0,0.95,Malibu,True,1,1,14,2,79,2,398
16409,1,0.86,0.98,West Hollywood,False,1,1,1125,2,69,1,632
16410,1,1.0,0.92,Hollywood,True,1,1,1125,31,66,0,1616
16411,1,1.0,1.0,Santa Monica,True,1,1,180,3,27,1,1184
16412,1,1.0,0.9,Monterey Park,False,2,2,1125,30,4,0,235
16413,-1,-1.0,-1.0,North Hollywood,False,2,2,1125,1,6,0,393
16414,3,1.0,0.89,Santa Monica,True,1,1,90,31,0,0,1184
16415,3,0.84,0.87,Sawtelle,False,1,1,1125,30,48,0,476
16416,4,0.0,-1.0,Arlington Heights,False,2,2,30,2,0,0,128
16417,-1,-1.0,-1.0,Downtown,False,1,1,1125,3,9,0,1072
16418,1,0.97,1.0,Marina del Rey,False,1,1,1000,2,46,1,201
16419,-1,-1.0,1.0,Palms,True,1,1,35,30,2,0,249
16420,1,1.0,0.97,Rowland Heights,False,2,2,1125,1,4,0,517
16421,1,1.0,0.98,East Pasadena,False,1,1,1125,1,124,5,43
16422,-1,-1.0,0.96,Inglewood,True,2,2,155,3,21,0,402
16423,1,1.0,0.98,Venice,False,1,1,1125,2,83,3,1701
16424,1,1.0,1.0,Sawtelle,False,1,1,180,60,2,0,476
16425,-1,-1.0,-1.0,Toluca Lake,True,2,2,15,7,1,0,66
16426,1,1.0,0.98,Venice,False,1,1,31,2,108,1,1701
16427,1,1.0,0.99,Downtown,True,1,1,91,3,109,2,1072
16428,-1,-1.0,-1.0,Hermosa Beach,True,2,2,1124,30,0,0,195
16429,-1,-1.0,-1.0,Hollywood Hills,True,1,1,1125,1,0,0,787
16430,1,1.0,1.0,Diamond Bar,False,2,2,1125,3,19,0,152
16431,1,1.0,0.97,Carson,False,2,2,30,1,75,0,79
16432,-1,-1.0,-1.0,Brentwood,False,2,2,5,1,4,0,198
16433,3,0.84,0.87,Sawtelle,False,1,1,1125,3,45,1,476
16434,-1,-1.0,-1.0,Santa Monica,True,1,1,1125,30,0,0,1184
16435,1,1.0,1.0,Westchester,False,1,1,1125,5,36,4,227
16436,-1,-1.0,0.89,Venice,False,2,2,1125,30,28,0,1701
16437,1,0.94,0.88,El Segundo,True,2,2,1125,2,112,2,153
16438,4,0.33,1.0,Santa Monica,True,1,1,1125,31,0,0,1184
16439,-1,-1.0,-1.0,Inglewood,False,2,2,15,7,0,0,402
16440,1,1.0,0.98,Pasadena,True,2,2,1125,1,0,0,459
16441,1,1.0,1.0,Altadena,True,2,2,1125,3,106,0,228
16442,1,1.0,1.0,Glendale,True,1,1,365,1,129,0,556
16443,1,1.0,0.97,Valley Glen,True,1,1,30,4,30,2,175
16444,1,1.0,0.88,Venice,True,1,1,40,5,5,0,1701
16445,1,1.0,0.88,Venice,True,1,1,60,7,7,0,1701
16446,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16447,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16448,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16449,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16450,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16451,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16452,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
16453,3,1.0,-1.0,Beverly Hills,False,1,1,29,7,0,0,540
